WeekCount,Date,Weekday,Task1,Manuscript1,TaskType1,PlannedTime1 (h),AccomplishState1 (%),SpentTime1 (h),WordCount1,ParagraphCount,Task2,Manuscript2,TaskType2,PlannedTime2 (h),AccomplishState2 (%),SpentTime2 (h),WordCount2,ParagraphCount2,TotalWordCount,TotalParagraphCount,ExtraEvent,ExtraTime (h),ProductivityRating (1-5),GeneralOverview
1,2023-1-1,Sunday,"Exp 2 Result figures
Exp 2.1, Exp 2.2, between Exp comparison",M1,DataAnalysis / Plotting,3,100,6,0,0,"General revising
Clean up tiny comments, read through whole text double checking content accuracy
Get ready for SW & LG fully revising",M1,Revising,2,0,0,0,0,0,0,,,4,"Three in the seven newly collected online data's performance were well enough for further analysis. 
Got three more data, prepared the codes for Exp 2.1 & 2.2 comparison.
Need one more data tomorrow for finalizing the analysis. Plot the final results and revise the result parts accordingly tomorrow.
Task 2 shift to tomorrow after finishing above tasks."
1,2023-1-2,Monday,"Exp 2
One more data --> final result figures
Participant age & gender",M1,DataAnalysis / Plotting,2.5,80,2,0,0,"Exp2 result revising
General revising",M1,Revising,3,10,1,0,0,0,0,Visit Ambros & Susi,7,4,"Results all ready, need to combin the figures & sigs. Worked on the wrong figure, spent time to rework on the recovery the wrong one...
Have a meeting to go, cannot work enough hours, but the productivity in the working hours was high. "
1,2023-1-3,Tuesday,"Finalize the result figure
Exp2 result revising
General revising",M1,Revising,4,20,1.5,0,0,,,,,,,,,0,0,,,0.5,"Too tired to work properly, slept several hours in the day time"
1,2023-1-4,Wednesday,"Finalize the result figure
Exp2 result revising
General revising",M1,Revising,4,80,5.8,120,1.5,,,,,,,,,120,1.5,,,4.2,"Spent longer time on general revision than expected
Several additional tiny analysis required according to remaining comments, some involved matlab coding"
1,2023-1-5,Thursday,General revising on remaining comments and method accuracy,M1,Revising,3,30,4,0,0,Result checking,M3,Revising,2,0,0,0,0,0,0,,,3.8,"More unexpected working load in tiny comments
--> split and switch to sub task, prioritize the M3 task"
1,2023-1-6,Friday,Result checking,M3,Revising,3,20,1.5,0,0,"Comment revising
method accuracy checking",M1,Revising,2,100,1.5,47,0.5,47,0.5,"Weekly summary
Making 2023 Calendar",1.5,3,"M1 general revision finished, quicker than expected"
2,2023-1-9,Monday,Evergreen note,M3,Literature,1.2,100,1,0,0,Result & Discussion,M3,Writing,3,0,0,0,0,0,0,Scrum & lab meeting,2,1,"couldn't find good work state at all, spent time on sorting remaining tasks and make monthly plan, prepare basis for a better work state in the rest of the week"
2,2023-1-10,Tuesday,"Result
Checking analysis, add result plots",M3,DataAnalysis / Plotting,4,80,8,461,2.5,Evergreen note,M3,Literature,3,0,0,0,0,461,2.5,,,4.8,"Redo all the analysis for the result, fully get into the working state of M3. Current result part well finished, decide to add additional between Exps analysis in the result part (not in previous skeleton), do it tomorrow. Didn't got time for revising plots, use current version first
It seems like switching between Ms indeed took much time and effort, after a long break, all in a sudden, becames able to work on M3, with even clearer idea than eariler"
2,2023-1-11,Wednesday,Between Exps comparison,M3,DataAnalysis / Plotting,3,100,2,394,2,"Evergreen note
general structure
Sensorimotor integration 2 papers",M3,Literature,3,0,0,0,0,394,2,"Research proposal for Ying
Meeting with Jan & Scrum meeting",2.5,3.5,"Very productive on task 1, but didn't manage to start task 2"
2,2023-1-12,Thursday,Discussion,M3,Writing,4,5,0.5,0,0,"Evergreen note
general structure
Sensorimotor integration 2 papers",M3,Literature,3,10,0.5,0,0,0,0,,,0.5,
